Topic,Count,Name,Representation,Representative_Docs
130,16,130_anger_soften blow_soften_blow,"['anger', 'soften blow', 'soften', 'blow', 'drawn', 'let anger', 'upset did', 'picasso', 'decency', 'sphincter']","['Before I tell you, perhaps I should soften the blow. You’re face is pleasingly symmetrical.', 'That kind of stinks? Why aren’t you more upset? Did I soften the blow too much? Because this here is more like a Picasso painting.', 'That kind of stinks? Why aren’t you more upset? Did I soften the blow too much? Because this here is more like a Picasso painting.']"
131,15,131_fine fine_hurry_fine_alright,"['fine fine', 'hurry', 'fine', 'alright', 'alright alright', 'asking', 'love', 'thank', '', '']","['Hurry.', 'Hurry.', 'Hurry, hurry, hurry.']"
132,15,132_koothrappali_rich_muscle_struggles,"['koothrappali', 'rich', 'muscle', 'struggles', 'dressed', 'lovable', 'sheet', 'emerge', 'lose', 'distracted']","['Well, it’s very simple. In our ragtag band of scientists with nothing to lose, I’m the smart one, Wolowitz is the funny one, and Koothrappali is the lovable foreigner who struggles to understand our ways and fails. That leaves you, by default, as the muscle.', 'Well, it’s very simple. In our ragtag band of scientists with nothing to lose, I’m the smart one, Wolowitz is the funny one, and Koothrappali is the lovable foreigner who struggles to understand our ways and fails. That leaves you, by default, as the muscle.', 'Oh, you’d like to catch up on the events of the day. All right. Well, there was a half-hour wait at the bank to get into my safe deposit box, I was forced to talk to Penny about your sexual problems, and, oh, yes, in a moment filled with biblical resonance, pride wenteth before my fall, causing my Flash 123 to goeth to Wolowitz.']"
133,15,133_leonard leonard_bridge_leonard_till,"['leonard leonard', 'bridge', 'leonard', 'till', 'leonard like', 'leonard just', 'just going', 'beat', 'answer', 'like']","[' Leonard? Leonard? Leonard?', ' Leonard? Leonard? Leonard?', ' Leonard? Leonard? Leonard?']"
134,15,134_schrodinger_studying_feynman_quantum,"['schrodinger', 'studying', 'feynman', 'quantum', 'says', 'measurement problem', 'feynman einstein', 'mechanics', 'quantum mechanics', 'clicked']","['That’s 14 hours away. For the next 840 minutes, I’m effectively one of Heisenberg’s particles, I know where I am or I know how fast I’m going, but I can’t know both. Yet how am I supposed to carry on with this huge annoying thing hovering over my head?', 'Amy is studying the time lag between intent and awareness, and I realized that applies to the measurement problem in quantum mechanics. Now, I recognize there will be a time lag between me saying that and you Googling what it means, so I’ll wait.', 'Amy is studying the time lag between intent and awareness, and I realized that applies to the measurement problem in quantum mechanics. Now, I recognize there will be a time lag between me saying that and you Googling what it means, so I’ll wait.']"
135,15,135_yesterday_home_today_days ago,"['yesterday', 'home', 'today', 'days ago', 'site', 'taking work', 'work today', 'web site', 'work know', 'amusement']","['It’s like it was yesterday.', 'Who knows? Uh, you said you’d be home yesterday, but you came home three days ago. You say you’re taking me to work, but for all I know, I’ll end up in a deserted amusement park. Or a cornfield maze. Or a back alley dog fight. You tell me.', 'Who knows? Uh, you said you’d be home yesterday, but you came home three days ago. You say you’re taking me to work, but for all I know, I’ll end up in a deserted amusement park. Or a cornfield maze. Or a back alley dog fight. You tell me.']"
136,15,136_don don_proving_don mistake_offence,"['don don', 'proving', 'don mistake', 'offence', 'mistake', 'don', 'doesn', 'need', '', '']","['You don’t see your mistake, do you?', 'It doesn’t need proving.', 'It doesn’t need proving.']"
137,15,137_talk_want talk_wait did_thousand,"['talk', 'want talk', 'wait did', 'thousand', 'like talk', 'install', 'oh wait', 'meaning ask', 'make oh', 'sexy talk']","['Oh, wait. Did you want to talk about what’s bothering you?', 'What do you want to talk about?', 'What do you want to talk about?']"
138,15,138_comforting_hypothetical_comfort_centre,"['comforting', 'hypothetical', 'comfort', 'centre', 'aging', 'play bridge', 'loss', 'work ll', 'really going', 'panda']","['To comfort you, of course. No, that’s not going to work at all, I’ll comfort you from over here. Leonard, what you’re experiencing is a classic Jungian crisis in which the aging individual mourns the loss of the never-to-be realized ideal family unit.', 'You know, when my grandfather died, and Meemaw was alone, my mom arranged for her to visit a centre three times a week where she could socialize with other lonely people. It’s very nice. They discuss current events, play bridge, get a hot meal.', 'You know, when my grandfather died, and Meemaw was alone, my mom arranged for her to visit a centre three times a week where she could socialize with other lonely people. It’s very nice. They discuss current events, play bridge, get a hot meal.']"
139,15,139_prescription_bat_colonoscopy_test,"['prescription', 'bat', 'colonoscopy', 'test', 'definitely', 'unpleasant', 'cure', 'like ve', 'speed', 'tank']","['He’s referring to an activity he has done before. It’s unpleasant and needs to be repeated. This suggests some sort of invasive medical test, like perhaps a colonoscopy.', 'Ah, the talking cure. Classical Freudian, good choice. If it will help speed things along, uh, my answers to the standard Rorschach ink blot test are A, a bat, B, a bat, C, a bat, and D, my father killing my mother with a hypodermic needle.', 'Ah, the talking cure. Classical Freudian, good choice. If it will help speed things along, uh, my answers to the standard Rorschach ink blot test are A, a bat, B, a bat, C, a bat, and D, my father killing my mother with a hypodermic needle.']"
140,14,140_dictionary_bid_800_oxford,"['dictionary', 'bid', '800', 'oxford', 'price', 'notify', 'plenty', 'word', 'wasting', 'precious']","['You bid $800.', 'Notify the editors of the Oxford English Dictionary, the word plenty has been redefined to mean two.', 'Notify the editors of the Oxford English Dictionary, the word plenty has been redefined to mean two.']"
141,14,141_zombie_spider_bite_legs,"['zombie', 'spider', 'bite', 'legs', 'insect', 'waist', 'turn', 'cocky', 'confronting', 'body parts']","['Hmm. You know, perhaps instead of confronting them, we should see how far they’re willing to spin their tangled webs. Like that Spider-Man action figure that used to be on your desk.', 'If a zombie bites you, you turn into a zombie. However, if a mummy bites you, all you turn into is some schmo with a mummy bite. So, like a zombie, that’s been eaten from the waist down, you, sir, have no leg to stand on.', 'If a zombie bites you, you turn into a zombie. However, if a mummy bites you, all you turn into is some schmo with a mummy bite. So, like a zombie, that’s been eaten from the waist down, you, sir, have no leg to stand on.']"
142,14,142_apartment_leave_buy need_clarify,"['apartment', 'leave', 'buy need', 'clarify', 'solely', 'want leave', 'paradigm', 'objection', 'procreating', 'come ll']","['That’s correct. FYI, I would have accepted any answer other than procreating. Come, I’ll show you the rest of the apartment.', 'Penny, Penny, just to clarify because there will be a discussion when you leave, is your objection solely to our presence in the apartment while you were sleeping, or do you also object to the imposition of a new organisational paradigm. Well that was a little non-responsive.', 'Penny, Penny, just to clarify because there will be a discussion when you leave, is your objection solely to our presence in the apartment while you were sleeping, or do you also object to the imposition of a new organisational paradigm. Well that was a little non-responsive.']"
143,14,143_difference_unacceptable_correctly_wrong wrong,"['difference', 'unacceptable', 'correctly', 'wrong wrong', 'settled', 'disappointing', 'wrong', 'ridiculous', 'wonder', 'boy']","['Well, there’s the difference. ', 'Well, there’s the difference. ', 'What’s the difference?']"
144,14,144_toy_broken_opened_hunt,"['toy', 'broken', 'opened', 'hunt', 'scroll', 'adventure', 'think really', 'northern', 'elves', 'switched']","['I didn’t. That was a lie. I opened my own toy. And it was already broken so I switched them.', 'Oh, a scroll. I like scrolls. They’re my third favourite system of transmitting the written word. After stone tablets and skywriting. You have all been summoned to join a thrilling Dungeons and Dragons adventure. Your quest begins in a secret northern village of elves who have all been massacred. I like where this is heading. Your task is to rescue their leader from a dungeon of ogres. Oh, that’s a saucy twist. That leader’s name, Santa Claus. No, no, no.', 'Oh, a scroll. I like scrolls. They’re my third favourite system of transmitting the written word. After stone tablets and skywriting. You have all been summoned to join a thrilling Dungeons and Dragons adventure. Your quest begins in a secret northern village of elves who have all been massacred. I like where this is heading. Your task is to rescue their leader from a dungeon of ogres. Oh, that’s a saucy twist. That leader’s name, Santa Claus. No, no, no.']"
145,14,145_hello leonard_hello_don answer_just standing,"['hello leonard', 'hello', 'don answer', 'just standing', 'phone leonard', 'phone know', 'leonard simple', 'know don', 'look just', 'let say']","['Hello, Leonard. Oh, hello, Arthur. What an odd coincidence that you’re both here.', 'Look at him, just standing in line like he wasn’t moderately famous 30 years ago. Let’s go say hello.', 'Look at him, just standing in line like he wasn’t moderately famous 30 years ago. Let’s go say hello.']"
146,14,146_sarcasm_recognize_sarcastic_sign,"['sarcasm', 'recognize', 'sarcastic', 'sign', 'afraid', 'sarcasm going', 'wasn', 'think don', 'going', 'people']","['Sarcasm?', 'Sarcasm?', 'Sarcasm?']"
147,14,147_stuart_zack_barry kripke_hugh,"['stuart', 'zack', 'barry kripke', 'hugh', 'significantly', 'comic bookstore', 'comic books', '45', 'bookstore', 'comic']","['Very well. Stuart.', 'Yes. Must be killing you wondering who. Fine, I’ll tell you. Stuart from the comic bookstore, Barry Kripke from the university, Penny’s ex-boyfriend Zack and TV’s LeVar Burton.', 'Yes. Must be killing you wondering who. Fine, I’ll tell you. Stuart from the comic bookstore, Barry Kripke from the university, Penny’s ex-boyfriend Zack and TV’s LeVar Burton.']"
148,14,148_fish_dna_genetic_refer,"['fish', 'dna', 'genetic', 'refer', 'generate', 'japanese', 'guarantee', 'surprisingly', 'seek', 'sister']","['I read an article about Japanese scientists, who inserted DNA from luminous jellyfish into other animals, and I thought hey, fish nightlights.', 'All right. So the topic at hand is sexual fidelity. Probably won’t be relying on Seuss here. Although One Fish, Two Fish, Red Fish, Blue Fish might be surprisingly applicable. Go on.', 'All right. So the topic at hand is sexual fidelity. Probably won’t be relying on Seuss here. Although One Fish, Two Fish, Red Fish, Blue Fish might be surprisingly applicable. Go on.']"
149,14,149_drill_zone_tried make_ward,"['drill', 'zone', 'tried make', 'ward', 'invasion', 'fires', 'surprise', 'll like', 'detailed', 'apocalyptic']","['Emergency preparedness drill.', 'I think you’ll like the drill tonight. I’ve tried to make it fun. Each of these cards contains a detailed scenario of a possible apocalyptic event. Everything from wild fires to a surprise invasion by Canada. Pick a catastrophe, any catastrophe.', 'I think you’ll like the drill tonight. I’ve tried to make it fun. Each of these cards contains a detailed scenario of a possible apocalyptic event. Everything from wild fires to a surprise invasion by Canada. Pick a catastrophe, any catastrophe.']"
150,13,150_envy_childhood_hysterical_wish,"['envy', 'childhood', 'hysterical', 'wish', 'believe', 'oh wish', 'sharing', 'dare', 'fault', 'bad']","['I wish I could believe you.', 'I envy you your childhood.', 'I envy you your childhood.']"
151,13,151_credit_happy_deserve_smiling,"['credit', 'happy', 'deserve', 'smiling', 'listed', 'mood', 'oh course', 'taking', 'clearly', 'really happy']","['If I’m not taking credit for our work then nobody is.', 'There’s nothing happy about it. I’m being given credit that I don’t deserve.', 'There’s nothing happy about it. I’m being given credit that I don’t deserve.']"
152,13,152_propose_proposal_pointing_hook,"['propose', 'proposal', 'pointing', 'hook', 'prom', 'suggests', 'slow', 'dancing', 'king', 'taken']","['Um, can I have your attention, everyone? That’s, uh, B-flat, for those who don’t have perfect pitch. I would like to propose a toast to my best friend, Dr. Leonard Hofstadter. He has been presented with a wonderful opportunity, and I couldn’t be happier for him.', 'Oh, everything. Getting our picture taken, slow-dancing, being elected prom king. Pointing out that kings aren’t elected. It’s gonna be off the hook.', 'Oh, everything. Getting our picture taken, slow-dancing, being elected prom king. Pointing out that kings aren’t elected. It’s gonna be off the hook.']"
153,13,153_games_week_commentary_father,"['games', 'week', 'commentary', 'father', 'seven years', 'college', 'ball', 'game', 'team', 'seven']","['That’s how my father always began our football conversations. And if you’d like, after the game, I’ll take you outside and teach you how to shoot close enough to a racoon that it craps itself.', 'That’s exactly what my father said. Come to the games, watch the games, week in and week out from the time I was five until I went off to college. Longest seven years of my life.', 'That’s exactly what my father said. Come to the games, watch the games, week in and week out from the time I was five until I went off to college. Longest seven years of my life.']"
154,13,154_digital_sheep_eaten_news,"['digital', 'sheep', 'eaten', 'news', 'lighthouse', 'local', 'okay know', 'earlier evening', 'scooby', 'drop']","['Leonard, I was just mentioning an interesting local news item. Now, thanks to you, I’m worried Amy’s been eaten by a bobcat.', 'Yeah, furthermore, earlier this evening, she threw a digital sheep at some guy named Mike. Who’s Mike? Why does he get a digital sheep and not you?', 'Yeah, furthermore, earlier this evening, she threw a digital sheep at some guy named Mike. Who’s Mike? Why does he get a digital sheep and not you?']"
155,13,155_hamburger_big boy_bacon ve_boy double,"['hamburger', 'big boy', 'bacon ve', 'boy double', 'limb', 'ratio', 'big', 'bacon', 'meat', 'll like']","['I won’t go out on a limb, but I think we may be looking at my new Tuesday hamburger.', 'You know why this hamburger surpasses the Big Boy? This is a single decker hamburger whereas the Big Boy is a double decker. This has a much more satisfying meat to bun to condiment ratio.', 'You know why this hamburger surpasses the Big Boy? This is a single decker hamburger whereas the Big Boy is a double decker. This has a much more satisfying meat to bun to condiment ratio.']"
156,13,156_zachary quinto_zachary_upset_quinto,"['zachary quinto', 'zachary', 'upset', 'quinto', 'mad', 'saving time', 'saving', 'documentary', 'outburst', 'think going']","['Are you upset about something?', 'Are you upset about something?', 'Oh, please. Every time the topic of change comes up, you throw Zachary Quinto in my face. I’m upset the mailman has a new haircut, Zachary Quinto. I’m upset that daylight saving time started, Zachary Quinto. I’m upset daylight saving time ended, Zachary Quinto. I’m saying this for the last time, Zachary Quinto was a weird, wonderful, unrepeatable event. So stop using him against me.']"
157,13,157_welcome_multiple_eliminated_pattern,"['welcome', 'multiple', 'eliminated', 'pattern', 'obvious', 'choice', 'answers', 'questions', 'excellent choice', 'nightmare']","['You’re welcome. ', 'You’re welcome. ', 'You’re very welcome.']"
158,13,158_amazing_close_oh yeah_guess,"['amazing', 'close', 'oh yeah', 'guess', 'yeah', 'oh', '', '', '', '']","['This is so amazing.', 'That’s amazing.', 'This is so amazing.']"
159,13,159_ha_experiment_center_readiness,"['ha', 'experiment', 'center', 'readiness', 'perform experiment', 'rise', 'immediately', 'quarter', 'perform', 'reaction']","['Yeah, you know how it works. Once a quarter, keep our readiness up. Now, rise and shine, sleepy head. Half the town is probably dead.', 'The reaction will be triggered when Kripke reaches the center of the room. Mwah, ha, ha.', 'The reaction will be triggered when Kripke reaches the center of the room. Mwah, ha, ha.']"
160,13,160_tartar_steroid_won far_collection,"['tartar', 'steroid', 'won far', 'collection', 'dermatitis', 'stranger', 'itch', 'tongue', 'skin', 'cream']","['My sympathies. I am no stranger to the crimson scourge that is dermatitis. Can I interest you in a topical steroid from my lotion and unguent collection?', 'I think I might have tartar buildup. My tongue won’t go as far forward as it used to.', 'I think I might have tartar buildup. My tongue won’t go as far forward as it used to.']"
161,13,161_bird_away_scare_injury,"['bird', 'away', 'scare', 'injury', 'emotions', 'pigeon', 'animal', 'dead end', 'schematic', 'negative']","['And this is a schematic for a bird-trapping device that will ultimately backfire and cause me physical injury?', ' Go away, bird. Go away, bird. Go away, bird.', 'Really? A blazer? All right. Yes, hello. This is Dr. Sheldon Cooper. Yeah, I’m at 2311 North Robles Avenue. Yeah, I’d like to report a dangerous wild animal. A blue jay. I’m sorry, this is Animal Control. I don’t understand the laughter. No, the bird is not in my home. If he was in my home, I obviously would have called 911. Sir, I have no doubt that there are things that you’re frightened of. Being stuck in a dead-end public service job? Or your wife stepping out on you because you’re stuck in a dead-end public service job? Or spiders? Don’t you think I tried making cat noises?']"
162,13,162_sooner_lee_decide_leo,"['sooner', 'lee', 'decide', 'leo', 'tiger', 'names', 'ant', 'army', 'dictates', 'middle child']","['Point of order. I move that any vote on team names should be unanimous. No man should be forced to emblazon his chest with the bengal tiger, when common sense dictates it should be an army ant.', 'Everybody hold on. Let’s take this problem one step at a time. First, we need to decide whether we’re calling it leever or lehver. And the sooner we decide it’s leever, the sooner we can roll up our sleeves, not slehves, and get to work.', 'Everybody hold on. Let’s take this problem one step at a time. First, we need to decide whether we’re calling it leever or lehver. And the sooner we decide it’s leever, the sooner we can roll up our sleeves, not slehves, and get to work.']"
163,12,163_exactly exactly_agreed_exactly_yes exactly,"['exactly exactly', 'agreed', 'exactly', 'yes exactly', 'disagree', 'fair', 'original', 'point', 'yes', '']","['Agreed.', 'Agreed.', 'Yes, exactly.']"
164,12,164_glass_heated_like oh_thank goodness,"['glass', 'heated', 'like oh', 'thank goodness', 'levels', 'measuring', 'residual', 'degrees', 'think make', 'precisely']","['Of course you do. It’s about you, like everything else. Oh, thank goodness. I don’t think I had it in me to make another glass of water.', 'I’m measuring residual heat levels on the playing cards to determine which one’s been touched. By the way, if you hope to have children, I suggest you switch from briefs to boxers. Your testicles look a tad warm.', 'I’m measuring residual heat levels on the playing cards to determine which one’s been touched. By the way, if you hope to have children, I suggest you switch from briefs to boxers. Your testicles look a tad warm.']"
165,12,165_hypothesis_support hypothesis_method_factor,"['hypothesis', 'support hypothesis', 'method', 'factor', 'perform experiment', 'perform', 'observation', 'apply', 'evidence', 'support']","['You have a back-up hypothesis.', 'Interesting hypothesis. Let’s apply the scientific method, perform an experiment.', 'Interesting hypothesis. Let’s apply the scientific method, perform an experiment.']"
166,12,166_fingers_penis_whoa_imposition,"['fingers', 'penis', 'whoa', 'imposition', 'finger', 'right case', 'comes', 'placed right', 'case', 'watch']","['In case it comes up again, this right here is an imposition.', 'In case it comes up again, this right here is an imposition.', 'Watch your fingers. Watch your fingers. Oh God, my fingers!']"
167,12,167_christmas_jelly_tasting_dungeons dragons,"['christmas', 'jelly', 'tasting', 'dungeons dragons', 'dragons', 'dungeons', 'joy', 'industry', 'making', 'don silly']","['I signal my contempt for your cruel plan to shove Christmas joy down my throat by making a gesture that says get a load of this guy.', 'Fun? Mixing Dungeons and Dragons with Christmas is like making a sandwich of grape jelly, the best-tasting jelly, and petroleum jelly, the worst-tasting jelly.', 'Fun? Mixing Dungeons and Dragons with Christmas is like making a sandwich of grape jelly, the best-tasting jelly, and petroleum jelly, the worst-tasting jelly.']"
168,12,168_magnificent_good don_good good_copy,"['magnificent', 'good don', 'good good', 'copy', 'fine okay', 'okay good', 'isn okay', 'okay', 'isn', 'okay okay']","['Good. Don’t do it.', 'Okay? It’s magnificent.', 'Okay? It’s magnificent.']"
169,12,169_explanation_mind_human_philosopher,"['explanation', 'mind', 'human', 'philosopher', 'object', 'attempt', 'expecting', 'reasonable', 'offer', 'gave']","['I just gave you a reasonable explanation.', 'Are you expecting me to offer an explanation of human behaviour?', 'Are you expecting me to offer an explanation of human behaviour?']"
170,12,170_math_uh know_wrote paper_solved,"['math', 'uh know', 'wrote paper', 'solved', 'equations', 'oh did', 'wrote', 'area', 'centre', 'worked']","['Uh, do you know how I solved the balanced centre combat-area problem? Five words, transitional quadrilateral to triangular tessellation.', 'Oh, I did more than work out all the math. I wrote a paper.', 'Oh, I did more than work out all the math. I wrote a paper.']"
171,12,171_work_ride_drive work_tirelessly,"['work', 'ride', 'drive work', 'tirelessly', 'agreed', 'assuming', 'away oh', 'face uh', 'excuse going', 'work said']","['Uh, well, it’s scary. And sometimes I get the pedals mixed up. But, more importantly, driving me to work is one of the things that gives your life purpose. I can’t take that away from you, so what do I do? Oh, come on, I’m practically feeding you the answer. I compromise.', 'No, you said you couldn’t drive me to work, this is from work.', 'No, you said you couldn’t drive me to work, this is from work.']"
172,12,172_robot_skynet_artificial_connor,"['robot', 'skynet', 'artificial', 'connor', 'summer', 'john', 'teen', 'various', '17', 'perfect way']","['Of course, if SkyNet actually did exist in the future, a perfect way to infiltrate and destroy mankind would be to send Terminators back posing as actors who have played Terminators in popular films and television series, lulling us into a false sense of security, i.e., that’s Summer Glau from The Sarah Connor Chronicles. No, Summer, don’t kill me! I’m pro-robot! Ahh!', 'Okay, then riddle me this. Assuming all the good Terminators were originally evil Terminators created by Skynet but then reprogrammed by the future John Connor, why would Skynet, an artificial computer intelligence, bother to create a petite hot 17 year-old killer robot?', 'Okay, then riddle me this. Assuming all the good Terminators were originally evil Terminators created by Skynet but then reprogrammed by the future John Connor, why would Skynet, an artificial computer intelligence, bother to create a petite hot 17 year-old killer robot?']"
173,12,173_isn right_wouldn_don sure_going oh,"['isn right', 'wouldn', 'don sure', 'going oh', 'oh way', 'quinto', 'don don', 'isn', 'fine', 'doing']","['No, I wouldn’t.', 'No, I can’t. This isn’t right.', 'No, I can’t. This isn’t right.']"
174,12,174_medical_mild_tissue_course talking,"['medical', 'mild', 'tissue', 'course talking', 'cultural', 'electric', 'enter', 'children', 'sick', 'speak']","['It might speak to a cultural aspiration to have one’s children enter the medical profession.', 'No, of course not. We’re talking very mild electric shocks. No tissue damage whatsoever.', 'No, of course not. We’re talking very mild electric shocks. No tissue damage whatsoever.']"
175,12,175_moving_reason_quit_doing trying,"['moving', 'reason', 'quit', 'doing trying', 'loves', 'leading', 'necessarily', 'predicated', 'infinite', 'ultimately']","['No, what I’m doing is trying to figure out how to live my life now that everyone is leaving me.', 'Not necessarily. This is a classic example of munchausen’s trilemma. Either the reason is predicated on a series of sub-reasons leading to an infinite regression, or it tracks back to arbitrary axiomatic statements, or it’s ultimately circular, i.e., I’m moving out because I’m moving out.', 'Not necessarily. This is a classic example of munchausen’s trilemma. Either the reason is predicated on a series of sub-reasons leading to an infinite regression, or it tracks back to arbitrary axiomatic statements, or it’s ultimately circular, i.e., I’m moving out because I’m moving out.']"
176,12,176_meeting_team_office_just told,"['meeting', 'team', 'office', 'just told', 'did meet', 'ergo', 'know just', 'oh just', 'worked', 'came']","['Oh, it’s just a meeting. One simple meeting.', 'Okay, I don’t know where you just came from, but it couldn’t have been a team meeting because I’m on the team and I wasn’t there, ergo the team did not meet.', 'Okay, I don’t know where you just came from, but it couldn’t have been a team meeting because I’m on the team and I wasn’t there, ergo the team did not meet.']"
177,12,177_did make_make feel_wonderful_deal,"['did make', 'make feel', 'wonderful', 'deal', 'deal did', 'penny trying', 'kudos', 'hey did', 'girls night', 'oh penny']","['Oh, Penny, I’m trying to take an interest in other people. Uh, how was your girls’ night?', 'And how did that make you feel?', 'And how did that make you feel?']"
178,12,178____,"['', '', '', '', '', '', '', '', '', '']","['Who?', 'What is it?', 'Where?']"
179,11,179_listening_hopeless_yeah yeah_shut,"['listening', 'hopeless', 'yeah yeah', 'shut', 'yeah right', 'listen', 'need work', 'really need', 'sit', 'laugh']","['How would I know? I’m not listening to you.', 'How would I know? I’m not listening to you.', 'You’re not listening to my side of it.']"
180,11,180_priya_big boy_12th_melt,"['priya', 'big boy', '12th', 'melt', 'desperately', 'spent night', 'know make', 'swear', 'woo', 'iron']","['Priya has moved back to India to pursue her law career. Instead of desperately trying to keep this intercontinental relationship alive, you could use that time to take up a hobby.', 'April 12th, 2005, Bob’s Big Boy, Toluca Lake. Raj had just introduced us to Priya for the first time, and she was enjoying the sweet taste of Hindu rebellion in the form of a Bob’s Super Big Boy hamburger. In order to preserve your friendship, you and Howard made a pinky swear that neither of you would attempt to woo her. I had a patty melt.', 'April 12th, 2005, Bob’s Big Boy, Toluca Lake. Raj had just introduced us to Priya for the first time, and she was enjoying the sweet taste of Hindu rebellion in the form of a Bob’s Super Big Boy hamburger. In order to preserve your friendship, you and Howard made a pinky swear that neither of you would attempt to woo her. I had a patty melt.']"
181,11,181_invent_good idea_supposed_having good,"['invent', 'good idea', 'supposed', 'having good', 'nipples', 'arrival', 'guess', 'idea', 'having', 'church']","['I didn’t invent them, they’re there.', 'That’s a good idea. I guess everyone’s having them now.', 'That’s a good idea. I guess everyone’s having them now.']"
182,11,182_excuse_magazine_spoke_article,"['excuse', 'magazine', 'spoke', 'article', 'mention', 'excuse going', 'excuse didn', 'relieve', 'didn', 'fun']","['Excuse me?', 'Excuse me.', 'Excuse me?']"
183,11,183_ll pleased_elves_whoo_elf,"['ll pleased', 'elves', 'whoo', 'elf', 'pleased', 'think doing', 'good morning', 'oh ve', 'think ll', 'gonna oh']","['I know. What an elf I would have made. Whoo, what do you think you’re doing?', 'Oh. Good morning, shoemaker. I think you’ll be pleased with what the elves were up to last night.', 'Oh. Good morning, shoemaker. I think you’ll be pleased with what the elves were up to last night.']"
184,11,184_palace_perfectly_ooh_change,"['palace', 'perfectly', 'ooh', 'change', 'volcano', 'mahalo', 'disappointing', 'lost', 'good', '']","['Tandoori Palace?', 'Why? Why would we change? We had a perfectly good palace. Tandoori Palace is our palace.', 'Why? Why would we change? We had a perfectly good palace. Tandoori Palace is our palace.']"
185,11,185_ice_swimming_caps_optional,"['ice', 'swimming', 'caps', 'optional', 'learning', 'interesting point', 'point don', 'don break', 'isn going', 'belly']","['Wooh, I’m all sweaty, anybody want to log on to second life and go swimming, I just built a virtual pool.', 'The ice caps are melting Leonard. In the future, swimming isn’t going to be optional. But you do bring up an interesting point. I don’t have to break new ground here, I’m sure much of the research already exists.', 'The ice caps are melting Leonard. In the future, swimming isn’t going to be optional. But you do bring up an interesting point. I don’t have to break new ground here, I’m sure much of the research already exists.']"
186,11,186_like think_experience_share_just just,"['like think', 'experience', 'share', 'just just', 'just cut', 'think like', 'nah', 'gradually', 'tomorrow', 'cut']","['I like it. I think you’re on to something.', 'Put it on. Let’s share the experience.', 'Put it on. Let’s share the experience.']"
187,11,187_social_ol_bellyaching_leonard friend,"['social', 'ol', 'bellyaching', 'leonard friend', 'suspended', 'style', 'objection', 'friends apparently', 'leslie', 'desire']","['Leonard, you are my friend. And friends support their friends, apparently. So I am withdrawing my objection to your desire to have a relationship with Leslie.', 'Look at us, Leonard, engaging in the social convention of men bellyaching about their ol’ ladies.', 'Look at us, Leonard, engaging in the social convention of men bellyaching about their ol’ ladies.']"
188,11,188_couch_explain_distinctly_cardboard,"['couch', 'explain', 'distinctly', 'cardboard', 'garage', 'numbers', 'coffee table', 'ordered', 'nimoy', 'leonard nimoy']","['This is a disaster. I distinctly ordered the Leonard Nimoy Mr. Spock cardboard standee. Why would I feel safer with Zachary Quinto at the foot of my bed?', 'A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. I’m just inferring that this is a couch, because the evidence suggests the coffee table’s having a tiny garage sale.', 'A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. I’m just inferring that this is a couch, because the evidence suggests the coffee table’s having a tiny garage sale.']"
189,11,189_shoes_yeah just_squeaky_measurable,"['shoes', 'yeah just', 'squeaky', 'measurable', 'upper body', 'body strength', 'yes yeah', 'shopping', 'upper', 'strength']","['Without shoes?', 'Yes. Yeah, just put on your squeaky shoes and eee-eee-eee your way out of my life.', 'Yes. Yeah, just put on your squeaky shoes and eee-eee-eee your way out of my life.']"
190,11,190_letter_code_morse_morse code,"['letter', 'code', 'morse', 'morse code', 'stop using', 'property', 'trash', 'remains', 'reads', 'threw']","['Well, there’s always the possibility that a trash can spontaneously formed around the letter, but Occam’s Razor would suggest that someone threw it out.', 'It’s partially torn off, but the segment that remains reads property of and the letter U.', 'It’s partially torn off, but the segment that remains reads property of and the letter U.']"
191,10,191_room room_room_lo_world,"['room room', 'room', 'lo', 'world', 'hi', 'brought', 'office', 'mind', 'hold', 'boy']","['But that’s my room.', 'But that’s my room.', 'But that’s my room.']"
192,10,192_phrase_just think_say thing_proving,"['phrase', 'just think', 'say thing', 'proving', 'think need', 'lady', 'things', 'sir', 'unspeakable', 'complicated']","['There you go again, nag, nag, nag. You’re only proving my point, little lady.', 'I just think you need to be careful how you phrase things, sir.', 'I just think you need to be careful how you phrase things, sir.']"
193,10,193_know does_gone_course don_ask,"['know does', 'gone', 'course don', 'ask', 'asks', 'topic', 'inform tell', 'ask course', 'brought inform', 'tell ask']","['So you brought me in here to inform me that you can’t tell me where you’re going and you can’t tell me who might ask?', 'If someone, and of course, we don’t know who this would be, does ask where you’ve gone, what should I say?', 'If someone, and of course, we don’t know who this would be, does ask where you’ve gone, what should I say?']"
